
=== CAPTURE 2026-09-03T16:00:41.518748 ===
16:01:29.774 | B1 36 74     | CC 36 value=74                      | control_change channel=1 control=54 value=116 time=0
16:01:29.778 | B1 36 77     | CC 36 value=77                      | control_change channel=1 control=54 value=119 time=0
16:01:29.786 | B1 36 78     | CC 36 value=78                      | control_change channel=1 control=54 value=120 time=0
16:01:29.790 | B1 36 74     | CC 36 value=74                      | control_change channel=1 control=54 value=116 time=0
16:01:29.797 | B1 36 77     | CC 36 value=77                      | control_change channel=1 control=54 value=119 time=0
16:01:29.809 | B1 36 75     | CC 36 value=75                      | control_change channel=1 control=54 value=117 time=0
16:01:29.814 | B1 36 7B     | CC 36 value=7B                      | control_change channel=1 control=54 value=123 time=0
16:01:29.826 | B1 36 7A     | CC 36 value=7A                      | control_change channel=1 control=54 value=122 time=0
16:01:29.833 | B1 36 7C     | CC 36 value=7C                      | control_change channel=1 control=54 value=124 time=0
16:01:29.838 | B1 36 77     | CC 36 value=77                      | control_change channel=1 control=54 value=119 time=0
16:01:29.850 | B1 36 7D     | CC 36 value=7D                      | control_change channel=1 control=54 value=125 time=0
16:01:29.857 | B1 36 7A     | CC 36 value=7A                      | control_change channel=1 control=54 value=122 time=0
16:01:29.862 | B1 36 7F     | CC 36 value=7F                      | control_change channel=1 control=54 value=127 time=0
16:01:30.390 | B1 36 7E     | CC 36 value=7E                      | control_change channel=1 control=54 value=126 time=0
16:01:30.397 | B1 36 7F     | CC 36 value=7F                      | control_change channel=1 control=54 value=127 time=0
16:01:30.402 | B1 36 7E     | CC 36 value=7E                      | control_change channel=1 control=54 value=126 time=0
16:01:30.409 | B1 36 7D     | CC 36 value=7D                      | control_change channel=1 control=54 value=125 time=0
16:01:30.414 | B1 36 7F     | CC 36 value=7F                      | control_change channel=1 control=54 value=127 time=0
16:01:30.438 | B1 36 7E     | CC 36 value=7E                      | control_change channel=1 control=54 value=126 time=0
16:01:30.446 | B1 36 7F     | CC 36 value=7F                      | control_change channel=1 control=54 value=127 time=0
16:01:30.458 | B1 36 7D     | CC 36 value=7D                      | control_change channel=1 control=54 value=125 time=0
16:01:30.462 | B1 36 7F     | CC 36 value=7F                      | control_change channel=1 control=54 value=127 time=0
16:01:30.486 | B1 36 7C     | CC 36 value=7C                      | control_change channel=1 control=54 value=124 time=0
16:01:30.493 | B1 36 7A     | CC 36 value=7A                      | control_change channel=1 control=54 value=122 time=0
16:01:30.498 | B1 36 7F     | CC 36 value=7F                      | control_change channel=1 control=54 value=127 time=0
16:01:32.170 | B1 3B 7E     | CC 3B value=7E                      | control_change channel=1 control=59 value=126 time=0
16:01:32.178 | B1 3B 7D     | CC 3B value=7D                      | control_change channel=1 control=59 value=125 time=0
16:01:32.181 | B1 3B 7C     | CC 3B value=7C                      | control_change channel=1 control=59 value=124 time=0
16:01:32.185 | B1 3B 7B     | CC 3B value=7B                      | control_change channel=1 control=59 value=123 time=0
16:01:32.194 | B1 3B 7A     | CC 3B value=7A                      | control_change channel=1 control=59 value=122 time=0
16:01:32.202 | B1 3B 79     | CC 3B value=79                      | control_change channel=1 control=59 value=121 time=0
16:01:32.205 | B1 3B 78     | CC 3B value=78                      | control_change channel=1 control=59 value=120 time=0
16:01:32.214 | B1 3B 77     | CC 3B value=77                      | control_change channel=1 control=59 value=119 time=0
16:01:32.221 | B1 3B 76     | CC 3B value=76                      | control_change channel=1 control=59 value=118 time=0
16:01:32.226 | B1 3B 75     | CC 3B value=75                      | control_change channel=1 control=59 value=117 time=0
16:01:32.233 | B1 3B 74     | CC 3B value=74                      | control_change channel=1 control=59 value=116 time=0
16:01:32.238 | B1 3B 73     | CC 3B value=73                      | control_change channel=1 control=59 value=115 time=0
